name,area,category,rating,reviews,price_text,price_min,price_max,address,distance_m,hours,website,matched_osm,source_maps
นาราไทย คูซีน,อโศก,ไทย,4.7,1134,"฿400-1,400",400,1400,"Rm. 3054-55, Fl.3 Terminal 21, 88 ซอย สุขุมวิท 19",80,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/%E0%B8%99%E0%B8%B2%E0%B8%A3%E0%B8%B2%E0%B9%84%E0%B8%97%E0%B8%A2+%E0%B8%84%E0%B8%B9%E0%B8%8B%E0%B8%B5%E0%B8%99/data=!4m7!3m6!1s0x30e29feeca0f45e5:0x982174cb4c7629ce!8m2!3d13.7379219!4d100.5604662!16s%2Fg%2F11vz5jq2sp!19sChIJ5UUPyu6f4jARzil2TMt0IZg?authuser=0&hl=th&rclk=1
Ministry of Crab Bangkok,อโศก,อาหารทะเล,4.6,1021,"฿2,000+",2000,,,719,ปิดเวลา 22:30,,True,https://www.google.com/maps/place/Ministry+of+Crab+Bangkok/data=!4m7!3m6!1s0x30e29ff8f3a242bf:0x3265c55859437dbe!8m2!3d13.73597!4d100.5666154!16s%2Fg%2F11fn4n5f6k!19sChIJv0Ki8_if4jARvn1DWVjFZTI?authuser=0&hl=th&rclk=1
Moom Muum Park,อโศก,ร้านอาหาร,4.6,1007,"฿400-1,000",400,1000,21 ซอย สุขุมวิท 19,42,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/Moom+Muum+Park/data=!4m7!3m6!1s0x30e29ee3a05de9f5:0x925ddc86698b9644!8m2!3d13.737378!4d100.5604841!16s%2Fg%2F1hf2py9hq!19sChIJ9eldoOOe4jARRJaLaYbcXZI?authuser=0&hl=th&rclk=1
Le Dalat,อโศก,เวียดนาม,4.6,936,"฿600-1,600",600,1600,57 ซ. สุขุมวิท 23,708,ปิดเวลา 22:00,,True,https://www.google.com/maps/place/Le+Dalat/data=!4m7!3m6!1s0x30e29efab1c3fcfd:0x57438e88ad2022a7!8m2!3d13.7426959!4d100.5635836!16s%2Fg%2F1v62f2w1!19sChIJ_fzDsfqe4jARpyIgrYiOQ1c?authuser=0&hl=th&rclk=1
เก็ดถะหวา,อโศก,ไทย,4.4,874,฿400-600,400,600,78/2 อาคาร ทวีวันเพลส ซ. สุขุมวิท 33,860,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/%E0%B9%80%E0%B8%81%E0%B9%87%E0%B8%94%E0%B8%96%E0%B8%B0%E0%B8%AB%E0%B8%A7%E0%B8%B2/data=!4m7!3m6!1s0x30e29efe6c54a6a7:0xb3d58be87456205d!8m2!3d13.7359419!4d100.5679397!16s%2Fg%2F1th54fr4!19sChIJp6ZUbP6e4jARXSBWdOiL1bM?authuser=0&hl=th&rclk=1
สมยงตำซั่ว สุขุมวิท-อโศก,อโศก,ไทย,4.7,750,฿1-400,1,400,44/4 ซอย สุขุมวิท 21,635,ปิดเวลา 22:30,,False,https://www.google.com/maps/place/%E0%B8%AA%E0%B8%A1%E0%B8%A2%E0%B8%87%E0%B8%95%E0%B8%B3%E0%B8%8B%E0%B8%B1%E0%B9%88%E0%B8%A7+%E0%B8%AA%E0%B8%B8%E0%B8%82%E0%B8%B8%E0%B8%A1%E0%B8%A7%E0%B8%B4%E0%B8%97-%E0%B8%AD%E0%B9%82%E0%B8%A8%E0%B8%81/data=!4m7!3m6!1s0x30e29fa65a0d21b7:0x6c5f7139dcca702!8m2!3d13.7425741!4d100.5623456!16s%2Fg%2F11s_v8y1zr!19sChIJtyENWqaf4jARAqfMnRP3xQY?authuser=0&hl=th&rclk=1
ป้อน Terminal 21 Asok,อโศก,ไทย,4.2,713,฿200-400,200,400,88 ซอย วัฒนา,102,เปิดวัน อังคาร เวลา 10:00,,False,https://www.google.com/maps/place/%E0%B8%9B%E0%B9%89%E0%B8%AD%E0%B8%99+Terminal+21+Asok/data=!4m7!3m6!1s0x30e29ee5a84ea91b:0xcf6641fbb4d21e72!8m2!3d13.7381445!4d100.560469!16s%2Fg%2F11c7hd8zvx!19sChIJG6lOqOWe4jARch7StPtBZs8?authuser=0&hl=th&rclk=1
No Idea Cafe & Gastropub,อโศก,ร้านอาหาร,4.6,707,"฿800-2,000",800,2000,5 ซอย สุขุมวิท 18,477,เปิดวัน อังคาร เวลา 11:00,,False,https://www.google.com/maps/place/No+Idea+Cafe+%26+Gastropub/data=!4m7!3m6!1s0x30e29f0299789b09:0xbaf6d432fc6fe3e3!8m2!3d13.7340044!4d100.562931!16s%2Fg%2F1pzpyfd16!19sChIJCZt4mQKf4jAR4-Nv_DLU9ro?authuser=0&hl=th&rclk=1
Dae Jang Gum,อโศก,เกาหลี,4.6,703,"฿200-1,000",200,1000,"Prasanmit Plaza, 2-3rd Floor, ซ. สุขุมวิท 23",478,ปิดเวลา 22:00,,False,https://www.google.com/maps/place/Dae+Jang+Gum/data=!4m7!3m6!1s0x30e29ee4c84a0021:0x976f027d04afd297!8m2!3d13.7405615!4d100.5629827!16s%2Fg%2F119thpqds!19sChIJIQBKyOSe4jARl9KvBH0Cb5c?authuser=0&hl=th&rclk=1
UMA UMA 博多うま馬-Asoke,อโศก,ราเม็ง,4.4,692,฿200-400,200,400,39/1 ซ. สุขุมวิท 23,456,ปิดเวลา 23:00,,True,https://www.google.com/maps/place/UMA+UMA+%E5%8D%9A%E5%A4%9A%E3%81%86%E3%81%BE%E9%A6%AC-Asoke/data=!4m7!3m6!1s0x30e29ee4b45861cb:0x466dc8987ce5b59b!8m2!3d13.7401225!4d100.5631642!16s%2Fg%2F11bxjg2455!19sChIJy2FYtOSe4jARm7XlfJjIbUY?authuser=0&hl=th&rclk=1
