name,area,category,rating,reviews,price_text,price_min,price_max,address,distance_m,hours,website,matched_osm,source_maps
อรรถรส,พร้อมพงษ์,ภัตตาคารอาหารไทย,4.4,1158,"฿400-1,200",400,1200,59/3 ซ. สุขุมวิท 39 แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,812,วันอังคาร 11:00 to 22:00 · วันพุธ 11:00 to 22:00 · วันพฤหัสบดี 11:00 to 22:00 · วันศุกร์ 11:00 to 22:00 · วันเสาร์ 11:00 to 22:00 · วันอาทิตย์ 11:00 to 22:00 · วันจันทร์ 11:00 to 22:00,https://www.facebook.com/attarote.thaicuisine,False,https://www.google.com/maps/search/?api=1&query=%E0%B8%AD%E0%B8%A3%E0%B8%A3%E0%B8%96%E0%B8%A3%E0%B8%AA&query_place_id=ChIJ6b0f3_6e4jAR2YzyQaSGBqA
Klom Klorm,สยาม,ภัตตาคารอาหารไทย,4.6,1139,$$,,,"181 Wyckoff Ave, Brooklyn, NY 11237",13933648,วันอังคาร 11:30 to 22:00 · วันพุธ 11:30 to 22:00 · วันพฤหัสบดี 11:30 to 22:00 · วันศุกร์ 11:30 to 22:00 · วันเสาร์ 11:30 to 22:00 · วันอาทิตย์ 11:30 to 22:00 · วันจันทร์ 11:30 to 22:00,https://www.klomklormnyc.com/,False,https://www.google.com/maps/search/?api=1&query=Klom%20Klorm&query_place_id=ChIJkxXiQW1dwokRdhEubx2uxpQ
โรซาโน อิตาเลียน คูซีน,อโศก,ร้านอาหารอิตาเลียน,4.5,1137,"฿1,000+",1000,,"167 Sukhumvit Soi 21, ถนน อโศกมนตรี แขวงคลองเตยเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย",438,"วันอังคาร 11:30 to 14:00, 17:00 to 23:00 · วันพุธ 11:30 to 14:00, 17:00 to 23:00 · วันพฤหัสบดี 11:30 to 14:00, 17:00 to 23:00 · วันศุกร์ 11:30 to 14:00, 17:00 to 23:00 · วันเสาร์ 11:30 to 14:00, 17:00 to 23:00 · วันอาทิตย์ 11:30 to 14:00, 17:00 to 23:00 · วันจันทร์ 11:30 to 14:00, 17:00 to 23:00",http://rossanosbangkok.com/,False,https://www.google.com/maps/search/?api=1&query=%E0%B9%82%E0%B8%A3%E0%B8%8B%E0%B8%B2%E0%B9%82%E0%B8%99%20%E0%B8%AD%E0%B8%B4%E0%B8%95%E0%B8%B2%E0%B9%80%E0%B8%A5%E0%B8%B5%E0%B8%A2%E0%B8%99%20%E0%B8%84%E0%B8%B9%E0%B8%8B%E0%B8%B5%E0%B8%99&query_place_id=ChIJge5RZOOe4jARzWYZ3jGvKbA
Clay Bangkok,อารีย์,ร้านอาหาร,4.8,1085,"฿400-1,200",400,1200,31 ซอย พหลโยธิน 2 แขวงสามเสนใน เขตพญาไท กรุงเทพมหานคร 10400 ไทย,313,วันอังคาร 11:00 to 22:00 · วันพุธ 11:00 to 22:00 · วันพฤหัสบดี 11:00 to 22:00 · วันศุกร์ 11:00 to 22:00 · วันเสาร์ 11:00 to 22:00 · วันอาทิตย์ 11:00 to 22:00 · วันจันทร์ 11:00 to 22:00,https://www.facebook.com/claybkk/,False,https://www.google.com/maps/search/?api=1&query=Clay%20Bangkok&query_place_id=ChIJa9_br1Wf4jAR0DuDTa7yUzo
Royal Kitchen,พร้อมพงษ์,ภัตตาคารอาหารจีน,4.8,1062,,,,27 โรงแรมนิกโก้ ชั้น 3 ถ. ทองหล่อ แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,1149,"วันอังคาร 11:00 to 14:30, 17:00 to 22:00 · วันพุธ 11:00 to 14:30, 17:00 to 22:00 · วันพฤหัสบดี 11:00 to 14:30, 17:00 to 22:00 · วันศุกร์ 11:00 to 14:30, 17:00 to 22:00 · วันเสาร์ 11:00 to 14:30, 17:00 to 22:00 · วันอาทิตย์ 11:00 to 14:30, 17:00 to 22:00 · วันจันทร์ 11:00 to 14:30, 17:00 to 22:00",https://royalkitchengroup.com/,False,https://www.google.com/maps/search/?api=1&query=Royal%20Kitchen&query_place_id=ChIJ9W5fd-Se4jARHKgJLKe3x3c
คัตสึยะ ชั้น 4,สยาม,ภัตตาคารอาหารทงคัทสึ,4.9,1059,฿200-400,200,400,ไทย กรุงเทพมหานคร ถ. พระรามที่ 1 Unit #MS 1042,87,วันอังคาร 10:00 to 22:00 · วันพุธ 10:00 to 22:00 · วันพฤหัสบดี 10:00 to 22:00 · วันศุกร์ 10:00 to 22:00 · วันเสาร์ 10:00 to 22:00 · วันอาทิตย์ 10:00 to 22:00 · วันจันทร์ 10:00 to 22:00,https://www.facebook.com/KatsuyaThailand,False,https://www.google.com/maps/search/?api=1&query=%E0%B8%84%E0%B8%B1%E0%B8%95%E0%B8%AA%E0%B8%B6%E0%B8%A2%E0%B8%B0%20%E0%B8%8A%E0%B8%B1%E0%B9%89%E0%B8%99%204&query_place_id=ChIJ2UNxXSKf4jARtP2IftNYDrU
Victoria by Cocotte @ Emquartier,พร้อมพงษ์,ร้านอาหาร,4.6,1031,"฿1,000+",1000,,"ห้องเลขที่ 8 ชั้น GF, The Waterfall Quatier 637 ถ. สุขุมวิท แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย",95,วันอังคาร 8:00 to 22:00 · วันพุธ 8:00 to 22:00 · วันพฤหัสบดี 8:00 to 22:00 · วันศุกร์ 8:00 to 22:00 · วันเสาร์ 8:00 to 22:00 · วันอาทิตย์ 8:00 to 22:00 · วันจันทร์ 8:00 to 22:00,https://www.victoria-bangkok.com/,False,https://www.google.com/maps/search/?api=1&query=Victoria%20by%20Cocotte%20%40%20Emquartier&query_place_id=ChIJAVSRYU2f4jARWx7kH5rhiWc
Fishmonger Ari,อารีย์,ร้านอาหาร,4.4,1017,฿400-600,400,600,"10, 6 ซอย อารีย์ 4 แขวงพญาไท เขตพญาไท กรุงเทพมหานคร 10400 ไทย",557,วันอังคาร 12:00 to 22:00 · วันพุธ 12:00 to 22:00 · วันพฤหัสบดี 12:00 to 22:00 · วันศุกร์ 12:00 to 23:00 · วันเสาร์ 12:00 to 23:00 · วันอาทิตย์ 12:00 to 22:00 · วันจันทร์ 12:00 to 22:00,https://www.facebook.com/profile.php?id=100077382399717,False,https://www.google.com/maps/search/?api=1&query=Fishmonger%20Ari&query_place_id=ChIJi9oe0BSd4jARrjC1zDGgfb4
Yankii Robatayaki & Bar,พร้อมพงษ์,ภัตตาคารอาหารญี่ปุ่น,4.8,968,"฿2,000+",2000,,12 ซ.สุขุมวิท 24 แขวงคลองตัน เขตคลองเตย กรุงเทพมหานคร 10110 ไทย,157,วันอังคาร 18:00 to 1:00 · วันพุธ 18:00 to 1:00 · วันพฤหัสบดี 18:00 to 1:00 · วันศุกร์ 18:00 to 1:00 · วันเสาร์ 18:00 to 1:00 · วันอาทิตย์ 18:00 to 1:00 · วันจันทร์ 18:00 to 1:00,http://www.yankiirestaurant.com/,False,https://www.google.com/maps/search/?api=1&query=Yankii%20Robatayaki%20%26%20Bar&query_place_id=ChIJRx_TR-Wf4jARAP__FTYaQz4
Beast & Butter : Burgers & Beers (Thong Lo),ทองหล่อ,ร้านแฮมเบอร์เกอร์,4.6,946,฿400-600,400,600,270 ถ. ทองหล่อ แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,686,"วันอังคาร 10:30 to 14:00, 16:30 to 22:30 · วันพุธ 10:30 to 14:00, 16:30 to 22:30 · วันพฤหัสบดี 10:30 to 14:00, 16:30 to 22:30 · วันศุกร์ 10:30 to 14:00, 16:30 to 22:30 · วันเสาร์ 10:30 to 22:30 · วันอาทิตย์ 10:30 to 22:30 · วันจันทร์ 10:30 to 14:00, 16:30 to 22:30",http://www.facebook.com/beastandbutter,False,https://www.google.com/maps/search/?api=1&query=Beast%20%26%20Butter%20%3A%20Burgers%20%26%20Beers%20(Thong%20Lo)&query_place_id=ChIJFftycf2f4jARwnxIgkl4Kn4
Metro Square SiamParagon,สยาม,ภัตตาคารอาหารไทย,4.7,891,฿200-600,200,600,991 ถ. พระรามที่ 1 แขวงปทุมวัน เขตปทุมวัน กรุงเทพมหานคร 10330 ไทย,69,วันอังคาร 10:00 to 22:00 · วันพุธ 10:00 to 22:00 · วันพฤหัสบดี 10:00 to 22:00 · วันศุกร์ 10:00 to 22:00 · วันเสาร์ 10:00 to 22:00 · วันอาทิตย์ 10:00 to 22:00 · วันจันทร์ 10:00 to 22:00,,False,https://www.google.com/maps/search/?api=1&query=Metro%20Square%20SiamParagon&query_place_id=ChIJYQPi8O-f4jAR6FrlIol3hGw
ไพร์ม เบอร์เกอร์ ทองหล่อ,ทองหล่อ,ร้านแฮมเบอร์เกอร์,4.7,868,฿200-400,200,400,411 1 ถ. ทองหล่อ แขวงคลองตันเหนือ เขตวัฒนา กรุงเทพมหานคร 10110 ไทย,398,วันอังคาร 10:00 to 3:00 · วันพุธ 10:00 to 3:00 · วันพฤหัสบดี 10:00 to 3:00 · วันศุกร์ 10:00 to 3:00 · วันเสาร์ 10:00 to 3:00 · วันอาทิตย์ 10:00 to 3:00 · วันจันทร์ 10:00 to 3:00,https://www.primeburger.co.th/,False,https://www.google.com/maps/search/?api=1&query=%E0%B9%84%E0%B8%9E%E0%B8%A3%E0%B9%8C%E0%B8%A1%20%E0%B9%80%E0%B8%9A%E0%B8%AD%E0%B8%A3%E0%B9%8C%E0%B9%80%E0%B8%81%E0%B8%AD%E0%B8%A3%E0%B9%8C%20%E0%B8%97%E0%B8%AD%E0%B8%87%E0%B8%AB%E0%B8%A5%E0%B9%88%E0%B8%AD&query_place_id=ChIJJxu7kfCf4jARwV8FYEK8yIk
